//=========================================================================================================================================
// NHServers www.nhservers.com.br
//=========================================================================================================================================
//=================================================================================================================================================================================================================================================
// Wings Level 4
//=================================================================================================================================================================================================================================================
//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	                Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName         Class
0	6412	70	145	2	65	2	                80      4       85      1       83      4       108     5       109     5       110     5       111     5	0	        "Wing401"         //Wizard
1	6413	70	145	2	65	2	                80      4       85      1       83      4       108     5       109     5       110     5       111     5	0	        "Wing402"         //Knight
2	6414	70	145	2	65	2	                80      4       85      1       83      4       108     5       109     5       110     5       111     5	0	        "Wing403"         //Elf
3	6415	70	145	2	65	2	                80      4       85      1       83      4       108     5       109     5       110     5       111     5	0	        "Wing404"         //Magic Gladiator
4	6416	70	145	2	65	2	                80      4       85      1       83      4       108     5       109     5       110     5       111     5	1	        "Wing405"         //Dark Lord
5	6417	70	145	2	65	2	                80      4       85      1       83      4       108     5       109     5       110     5       111     5	0	        "Wing406"         //Summoner
6	6418	70	145	2	65	2	                80      4       85      1       83      4       108     5       109     5       110     5       111     5	1	        "Wing407"         //Rage Fighter
//=================================================================================================================================================================================================================================================
// Wings 2.5
//=================================================================================================================================================================================================================================================
//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	                Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName         Class
7	6424	4	145	2	65	2	                80      4       85      1       83      4       108     5       109     5       110     5       111     5	1	        "Wing280"         //Dark Lord Rage Fighter
8	6425	4	145	2	65	2	                80      4       85      1       83      4       108     5       109     5       110     5       111     5	0	        "Wing281"         //Knight Magic
9	6426	4	145	2	65	2	                80      4       85      1       83      4       108     5       109     5       110     5       111     5	0	        "Wing282"         //Wizard Magic Sum
10	6427	4	145	2	65	2	                80      4       85      1       83      4       108     5       109     5       110     5       111     5	0	        "Wing283"         //Elf
//=================================================================================================================================================================================================================================================
// Special Wings (Conqueror, Angel and Devil, Power
//=================================================================================================================================================================================================================================================
//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	                Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName         Class
11	6428	4	145	2	65	2	                80      4       85      1       83      4       108     5       109     5       110     5       111     5	0	        "ConquerorWing"   //All
12	6429	4	145	2	65	2	                80      4       85      1       83      4       108     5       109     5       110     5       111     5	0	        "Wing285"         //All
13	6430	30	145     2       65      2	                80      4       85      1       83      4       108     5       109     5       110     5       111     5	0	        "WingsOfPower"    //All

end
