//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ProductID	ProductNumber	ItemGroup	ItemIndex	Price	Durability	UseTime	80	Level	Skill	Luck	Option	ExOpt	AncOp	Comment
1000	1000	13	80	20	0	10080	80	0	0	0	0	0	0	// Pet Panda (7 Days)
1000	1001	13	80	30	0	21600	80	0	0	0	0	0	0	// Pet Panda (15 Days)
1000	1002	13	80	60	0	43200	80	0	0	0	0	0	0	// Pet Panda (30 Days)
1010	1010	13	122	20	0	10080	80	0	0	0	0	0	0	// Skeleton Transformation Ring (7 Days)
1010	1011	13	122	30	0	21600	80	0	0	0	0	0	0	// Skeleton Transformation Ring (15 Days)
1010	1012	13	122	60	0	43200	80	0	0	0	0	0	0	// Skeleton Transformation Ring (30 Days)
1020	1020	13	76	20	0	10080	80	0	0	0	0	0	0	// Panda Ring (7 Days)
1020	1021	13	76	30	0	21600	80	0	0	0	0	0	0	// Panda Ring (15 Days)
1020	1022	13	76	60	0	43200	80	0	0	0	0	0	0	// Panda Ring (30 Days)
1040	1040	14	96	400	0	0	80	0	0	0	0	0	0	// Talisman of Chaos Assembly (1 UN)
1050	1050	14	53	20	1	0	80	0	0	0	0	0	0	// Talisman of Luck (1 %)
1050	1051	14	53	40	5	0	80	0	0	0	0	0	0	// Talisman of Luck (5 %)
1050	1052	14	53	60	10	0	80	0	0	0	0	0	0	// Talisman of Luck (10%)
1060	1060	13	65	150	0	10080	80	0	0	0	0	0	0	// Spirit of Guardian (7 Days)
1060	1061	13	65	250	0	21600	80	0	0	0	0	0	0	// Spirit of Guardian (15 Days)
1060	1062	13	65	500	0	43200	80	0	0	0	0	0	0	// Spirit of Guardian (30 Days)
1070	1070	13	106	20	0	10080	80	0	0	0	0	0	0	// Pet Unicorn (7 Days)
1070	1071	13	106	30	0	21600	80	0	0	0	0	0	0	// Pet Unicorn (15 Days)
1070	1072	13	106	60	0	43200	80	0	0	0	0	0	0	// Pet Unicorn (30 Days)
1080	1080	13	123	20	0	10080	80	0	0	0	0	0	0	// Pet Skeleton (7 Days)
1080	1081	13	123	30	0	21600	80	0	0	0	0	0	0	// Pet Skeleton (15 Days)
1080	1082	13	123	60	0	43200	80	0	0	0	0	0	0	// Pet Skeleton (30 Days)
1090	1090	13	43	100	0	10080	80	0	0	0	0	0	0	// Seal of Ascension (7 Days)
1090	1091	13	43	250	0	21600	80	0	0	0	0	0	0	// Seal of Ascension (15 Days)
1090	1092	13	43	500	0	43200	80	0	0	0	0	0	0	// Seal of Ascension (30 Days)
1100	1100	13	44	100	0	10080	80	0	0	0	0	0	0	// Seal of Wealth (7 Days)
1100	1101	13	44	250	0	21600	80	0	0	0	0	0	0	// Seal of Wealth (15 Days)
1100	1102	13	44	500	0	43200	80	0	0	0	0	0	0	// Seal of Wealth (30 Days)
1110	1110	13	43	500	0	60	80	0	0	0	0	0	0	// Seal of Ascension (1 Hours)
1110	1111	13	43	1000	0	120	80	0	0	0	0	0	0	// Seal of Ascension (2 Hours)
1110	1112	13	43	1500	0	180	80	0	0	0	0	0	0	// Seal of Ascension (3 Hours)
1110	1113	13	43	2500	0	300	80	0	0	0	0	0	0	// Seal of Ascension (5 Hours)
1120	1120	13	63	50	0	10080	80	0	0	0	0	0	0	// Seal of Divinity (7 Days)
1120	1121	13	63	100	0	21600	80	0	0	0	0	0	0	// Seal of Divinity (15 Days)
1120	1122	13	63	200	0	43200	80	0	0	0	0	0	0	// Seal of Divinity (30 Days)
1130	1130	13	62	70	0	10080	80	0	0	0	0	0	0	// Seal of Healing (7 Days)
1130	1131	13	62	120	0	21600	80	0	0	0	0	0	0	// Seal of Healing (15 Days)
1130	1132	13	62	240	0	43200	80	0	0	0	0	0	0	// Seal of Healing (30 Days)
1160	1160	13	103	50	0	10080	80	0	0	0	0	0	0	// Party EXP Scroll (7 Days)
1160	1161	13	103	100	0	21600	80	0	0	0	0	0	0	// Party EXP Scroll (15 Days)
1160	1162	13	103	200	0	43200	80	0	0	0	0	0	0	// Party EXP Scroll (30 Days)
1170	1170	13	104	150	0	10080	80	0	0	0	0	0	0	// Max AG Boost Aura (7 Days)
1170	1171	13	104	250	0	21600	80	0	0	0	0	0	0	// Max AG Boost Aura (15 Days)
1170	1172	13	104	500	0	43200	80	0	0	0	0	0	0	// Max AG Boost Aura (30 Days)
1180	1180	13	105	150	0	10080	80	0	0	0	0	0	0	// Max SD Boost Aura (7 Days)
1180	1181	13	105	250	0	21600	80	0	0	0	0	0	0	// Max SD Boost Aura (15 Days)
1180	1182	13	105	500	0	43200	80	0	0	0	0	0	0	// Max SD Boost Aura (30 Days)
1190	1190	13	44	700	0	60	80	0	0	0	0	0	0	// Seal of Wealth (1 Hours)
1190	1191	13	44	1400	0	120	80	0	0	0	0	0	0	// Seal of Wealth (2 Hours)
1190	1192	13	44	2100	0	180	80	0	0	0	0	0	0	// Seal of Wealth (3 Hours)
1190	1193	13	44	2800	0	300	80	0	0	0	0	0	0	// Seal of Wealth (5 Hours)
1200	1200	13	103	500	0	60	80	0	0	0	0	0	0	// Party EXP Scroll (1 Hours)
1200	1201	13	103	1000	0	120	80	0	0	0	0	0	0	// Party EXP Scroll (2 Hours)
1200	1202	13	103	1500	0	180	80	0	0	0	0	0	0	// Party EXP Scroll (3 Hours)
1200	1203	13	103	2500	0	300	80	0	0	0	0	0	0	// Party EXP Scroll (5 Hours)
1210	1210	13	67	200	0	60	80	0	0	0	0	0	0	// Pet Rudolf (1 Hours)
